Campo,Objeto,Filtro
j02-20170408T204701-01_prepro.fz,Feige66,rSDSS
j02-20170408T204754-01_prepro.fz,Feige66,J0378
j02-20170408T204833-01_prepro.fz,Feige66,J0395
j02-20170408T204910-01_prepro.fz,Feige66,J0410
j02-20170408T204958-01_prepro.fz,Feige66,J0430
j02-20170408T205041-01_prepro.fz,Feige66,J0515
j02-20170408T205120-01_prepro.fz,Feige66,J0660
j02-20170408T205204-01_prepro.fz,Feige66,J0861
j02-20170408T205820-01_prepro.fz,BD+381670,iSDSS
j02-20170408T205905-01_prepro.fz,BD+381670,uJAVA
j02-20170408T205948-01_prepro.fz,BD+381670,J0430
j02-20170408T210036-01_prepro.fz,BD+381670,J0861
j02-20170408T210116-01_prepro.fz,BD+381670,J0515
j02-20170408T210151-01_prepro.fz,BD+381670,J0410
j02-20170408T210239-01_prepro.fz,BD+381670,rSDSS
j02-20170408T210324-01_prepro.fz,BD+381670,J0378
j02-20170408T210418-01_prepro.fz,BD+381670,J0660
j02-20170408T210459-01_prepro.fz,BD+381670,gSDSS
j02-20170408T210543-01_prepro.fz,BD+381670,J0395
j02-20170408T210642-01_prepro.fz,BD+381670,zSDSS
j02-20170408T212725-01_prepro.fz,G180-24,iSDSS
j02-20170408T212813-01_prepro.fz,G180-24,uJAVA
j02-20170408T212922-01_prepro.fz,G180-24,J0430
j02-20170408T213018-01_prepro.fz,G180-24,J0861
j02-20170408T213101-01_prepro.fz,G180-24,J0515
j02-20170408T213141-01_prepro.fz,G180-24,J0410
j02-20170408T213239-01_prepro.fz,G180-24,rSDSS
j02-20170408T213323-01_prepro.fz,G180-24,J0378
j02-20170408T213500-01_prepro.fz,G180-24,J0660
j02-20170408T213549-01_prepro.fz,G180-24,gSDSS
j02-20170408T213633-01_prepro.fz,G180-24,J0395
j02-20170408T213752-01_prepro.fz,G180-24,zSDSS
j02-20170408T213918-01_prepro.fz,Feige34,iSDSS
j02-20170408T214005-01_prepro.fz,Feige34,uJAVA
j02-20170408T214047-01_prepro.fz,Feige34,J0430
j02-20170408T214140-01_prepro.fz,Feige34,J0861
j02-20170408T214239-01_prepro.fz,Feige34,J0515
j02-20170408T214323-01_prepro.fz,Feige34,J0410
j02-20170408T214418-01_prepro.fz,Feige34,rSDSS
j02-20170408T214504-01_prepro.fz,Feige34,J0378
j02-20170408T214610-01_prepro.fz,Feige34,J0660
j02-20170408T214722-01_prepro.fz,Feige34,gSDSS
j02-20170408T214807-01_prepro.fz,Feige34,J0395
j02-20170408T214915-01_prepro.fz,Feige34,zSDSS
j02-20170408T231827-01_prepro.fz,Feige66,rSDSS
j02-20170408T231920-01_prepro.fz,Feige66,J0378
j02-20170408T231958-01_prepro.fz,Feige66,J0395
j02-20170408T232036-01_prepro.fz,Feige66,J0410
j02-20170408T232124-01_prepro.fz,Feige66,J0430
j02-20170408T232207-01_prepro.fz,Feige66,J0515
j02-20170408T232245-01_prepro.fz,Feige66,J0660
j02-20170408T232330-01_prepro.fz,Feige66,J0861
j02-20170408T232426-01_prepro.fz,G180-24,iSDSS
j02-20170408T232512-01_prepro.fz,G180-24,uJAVA
j02-20170408T232621-01_prepro.fz,G180-24,J0430
j02-20170408T232717-01_prepro.fz,G180-24,J0861
j02-20170408T232800-01_prepro.fz,G180-24,J0515
j02-20170408T232841-01_prepro.fz,G180-24,J0410
j02-20170408T232938-01_prepro.fz,G180-24,rSDSS
j02-20170408T233023-01_prepro.fz,G180-24,J0378
j02-20170408T233200-01_prepro.fz,G180-24,J0660
j02-20170408T233248-01_prepro.fz,G180-24,gSDSS
j02-20170408T233333-01_prepro.fz,G180-24,J0395
j02-20170408T233451-01_prepro.fz,G180-24,zSDSS
j02-20170408T234304-01_prepro.fz,USSsJ2570,rSDSS
j02-20170408T234357-01_prepro.fz,USSsJ2570,uJAVA
j02-20170408T234426-01_prepro.fz,USSsJ2570,uJAVA
j02-20170408T234456-01_prepro.fz,USSsJ2570,uJAVA
j02-20170408T234539-01_prepro.fz,USSsJ2570,J0378
j02-20170408T234611-01_prepro.fz,USSsJ2570,J0378
j02-20170408T234641-01_prepro.fz,USSsJ2570,J0378
j02-20170408T234724-01_prepro.fz,USSsJ2570,J0395
j02-20170408T234752-01_prepro.fz,USSsJ2570,J0395
j02-20170408T234821-01_prepro.fz,USSsJ2570,J0395
j02-20170408T234905-01_prepro.fz,USSsJ2570,J0410
j02-20170408T234935-01_prepro.fz,USSsJ2570,J0410
j02-20170408T235004-01_prepro.fz,USSsJ2570,J0410
j02-20170408T235057-01_prepro.fz,USSsJ2570,J0430
j02-20170408T235125-01_prepro.fz,USSsJ2570,J0430
j02-20170408T235155-01_prepro.fz,USSsJ2570,J0430
j02-20170408T235238-01_prepro.fz,USSsJ2570,gSDSS
j02-20170408T235306-01_prepro.fz,USSsJ2570,gSDSS
j02-20170408T235335-01_prepro.fz,USSsJ2570,gSDSS
